image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE,mask_prob,method,protein
3,1,1,fourier_radial,0.0,0.0716015249490737,0.2131619155406952,17.471377128685972,0.4060783630185369,0.1703084260225296,34.250831604003906,9.07387766346801e-06,0.2,dct,EMPIAR10076_128
4,1,1,fourier_radial,0.0,0.0746922343969345,0.2185342013835907,17.28784505715582,0.3748223077339587,0.1820951402187347,34.98224639892578,8.212558896047994e-06,0.2,dct,EMPIAR10076_128
5,1,1,fourier_radial,0.0,0.0663153231143951,0.2049914002418518,17.80446121658969,0.3741926672793944,0.2056621760129928,32.96225357055664,7.653912689420395e-06,0.2,dct,EMPIAR10076_128
6,1,1,fourier_radial,0.0,0.0710368528962135,0.2122942358255386,17.505762872816465,0.401077367636923,0.2307511419057846,34.11550521850586,7.956821718835272e-06,0.2,dct,EMPIAR10076_128
7,1,1,fourier_radial,0.0,0.0766885504126548,0.2205758392810821,17.173294957100282,0.3853306686643822,0.1893801689147949,35.446651458740234,7.879134500399232e-06,0.2,dct,EMPIAR10076_128
8,1,1,fourier_radial,0.0,0.0688669234514236,0.2090793251991272,17.64049325991909,0.3975134793945853,0.1627135872840881,33.59041213989258,7.4622880674724e-06,0.2,dct,EMPIAR10076_128
9,1,1,fourier_radial,0.0,0.0736068338155746,0.2162154614925384,17.351418743175845,0.3844124632171913,0.2245409190654754,34.727142333984375,7.819131496944465e-06,0.2,dct,EMPIAR10076_128
10,1,1,fourier_radial,0.0,0.0681068450212478,0.2083024829626083,17.688692808345028,0.3913039832678331,0.1728105843067169,33.4045295715332,7.286874279088806e-06,0.2,dct,EMPIAR10076_128
11,1,1,fourier_radial,0.0,0.0684893950819969,0.2078033834695816,17.664366579301493,0.3890852379854802,0.190300777554512,33.49821090698242,7.576175448775757e-06,0.2,dct,EMPIAR10076_128
12,1,1,fourier_radial,0.0,0.0798790752887725,0.2252244800329208,16.996269880461856,0.3834148121080595,0.2266411036252975,36.17649459838867,8.178137250069994e-06,0.2,dct,EMPIAR10076_128
13,1,1,fourier_radial,0.0,0.0652910321950912,0.2035056203603744,17.87206452809911,0.3787338262640886,0.2005442231893539,32.70669937133789,7.8523917181883e-06,0.2,dct,EMPIAR10076_128
14,1,1,fourier_radial,0.0,0.0680238381028175,0.2087884247303009,17.693988614631483,0.3787454873135818,0.1709084212779998,33.3841667175293,7.584724698972423e-06,0.2,dct,EMPIAR10076_128
15,1,1,fourier_radial,0.0,0.067955195903778,0.2077073752880096,17.69837327089712,0.3926743657829789,0.2199379950761795,33.36731719970703,7.147345968405716e-06,0.2,dct,EMPIAR10076_128
0,1,1,fourier_ring,0.0,0.0671714544296264,0.205864205956459,17.748752147591645,0.2357380661214906,0.1987169981002807,33.17434310913086,0.0019878945313394,0.2,dct,EMPIAR10076_128
1,1,1,fourier_ring,0.0,0.0770340263843536,0.2213090658187866,17.153774065479347,0.2255284075354162,0.218314066529274,35.526405334472656,0.0021677636541426,0.2,dct,EMPIAR10076_128
2,1,1,fourier_ring,0.0,0.0690489783883094,0.2094242572784423,17.629027389296034,0.2259545101833106,0.2130350172519683,33.63478088378906,0.0020590778440237,0.2,dct,EMPIAR10076_128
3,1,1,fourier_ring,0.0,0.0711428001523017,0.2125332057476043,17.49929028741648,0.2361827075931306,0.2034666538238525,34.14093780517578,0.0020800870843231,0.2,dct,EMPIAR10076_128
4,1,1,fourier_ring,0.0,0.0696700438857078,0.210490882396698,17.590139117511722,0.2194136707482155,0.2952808141708374,33.78570556640625,0.0019375847186893,0.2,dct,EMPIAR10076_128
5,1,1,fourier_ring,0.0,0.0655733495950698,0.2042278945446014,17.85332629383307,0.2250679996684244,0.2091954499483108,32.77733612060547,0.0019613152835518,0.2,dct,EMPIAR10076_128
6,1,1,fourier_ring,0.0,0.0715598240494728,0.2130243480205536,17.473907073462595,0.205741818859752,0.3164581060409546,34.2408561706543,0.002035156590864,0.2,dct,EMPIAR10076_128
7,1,1,fourier_ring,0.0,0.0738108158111572,0.216039627790451,17.33939961539913,0.2200708108857708,0.1944913268089294,34.77522659301758,0.0020699128508567,0.2,dct,EMPIAR10076_128
8,1,1,fourier_ring,0.0,0.0671860873699188,0.206391379237175,17.7478061910536,0.2321808974093468,0.2015748620033264,33.177955627441406,0.0020724274218082,0.2,dct,EMPIAR10076_128
9,1,1,fourier_ring,0.0,0.0681039616465568,0.2072715759277343,17.688875990127453,0.2386927733160831,0.2476190775632858,33.4038200378418,0.0021078523714095,0.2,dct,EMPIAR10076_128
10,1,1,fourier_ring,0.0,0.066221684217453,0.2053679525852203,17.8105975459432,0.2382716226753948,0.2063434869050979,32.9389762878418,0.001940885442309,0.2,dct,EMPIAR10076_128
11,1,1,fourier_ring,0.0,0.0677997842431068,0.2070666998624801,17.70831641505922,0.1970250495477492,0.2401061654090881,33.329139709472656,0.0017715989379212,0.2,dct,EMPIAR10076_128
12,1,1,fourier_ring,0.0,0.0754008218646049,0.2173757553100586,17.24683890440637,0.2156320049126871,0.3380028009414673,35.147789001464844,0.0021058868151158,0.2,dct,EMPIAR10076_128
13,1,1,fourier_ring,0.0,0.0635664165019989,0.2016740590333938,17.988322856370516,0.2081154177761334,0.2128545343875885,32.271846771240234,0.0018648881232365,0.2,dct,EMPIAR10076_128
14,1,1,fourier_ring,0.0,0.0695574879646301,0.2097462713718414,17.597160962019053,0.2088802275974403,0.2372357100248336,33.75840377807617,0.0019413905683904,0.2,dct,EMPIAR10076_128
